data;

param maxb := 5;

param max_slots_per_day := 5;

param slots_per_day := 10;

set Rooms := "E1", "E2", "E3", "M1", "LABE" ,"LUN" ,"ANA","D","VITALI","NADIABUSI","VIII","VII";

set Data := 

##############################################################################
## Informatica triennale
## primo anno
("Lunch1",    "Lunch1",   "1info")
("Lunch2",    "Lunch2",   "2info")
("Lunch3",    "Lunch3",   "3info")
("Lunch4",    "Lunch4",   "1ipm")
("Lunch5",    "Lunch5",   "2ipm")
("Lunch6",    "Lunch6",   "3ipm")
("Lunch7",    "Lunch7",   "1mag")
("Lunch8",    "Lunch8",   "2mag")
("I-P",       "Sordoni",  "1info")
("I-AM",      "Laneve",   "1info")
("I-AE",      "Ghini"   ,  "1info")
("I-LI",      "Sacerdoti","1info")

## secondo anno
("I-SO",    "Davoli",   "2info")
("I-RC",    "Panzieri",   "2info") 
("I-CN",    "Casciola",  "2info")
("I-O",   "DalLago",    "2info")
("I-LP",   "Gorrieri",    "2info")


## terzo anno
("I-IT",    "Asperti",  "3info")
("I-IS",   "Ciancarini",   "3info")
("I-S",    "Babaoglu",  "3info")
("I-SA",   "Mollona",   "3info")
("I-BD",   "Montesi",   "3info")


##############################################################################
## IPM triennale

## primo anno
("S-PI",    "Kiziltan",   "1ipm")
("S-DI",    "Finocchiaro",     "1ipm")
("S-AM",    "Sordoni",     "1ipm")
("S-OA",    "Fioretti",  "1ipm")
("S-LAPI",  "Ferretti",  "1ipm")



## secondo anno
("S-FA",    "Tommasini",    "2ipm")
("S-SA",    "Mollona",     "2ipm")
("S-MNC",   "Casciola",    "2ipm")
("S-ASD",   "Donatiello",     "2ipm")



## terzo anno
("S-BD",    "DiFelice",    "3ipm")
("S-IS",    "Rossi",    "3ipm")
("S-DPACR", "Ruffino",    "3ipm")
("S-LI",    "Sacerdoti",    "3ipm")




##############################################################################
## Informatica Magistrale

## primo anno
("M-FSC",    "Rambaldi",     "1mag")
("M-AA",   "Bertossi",     "1mag")
("M-CBD",    "Montesi",     "1mag")
("M-MP",   "Campanino",   "1mag")
("M-SDS",   "Donatiello",     "1mag")




## secondo anno
("M-BPM",   "Rossi",   "2mag")
("M-ELN",  "Tamburini",  "2mag")
("M-CLP",  "Asperti",  "2mag")
("M-FLI",    "Martini",    "2mag")
("M-ARS",   "Ruffino",     "2mag")
("M-AS",    "Ciancarini",  "2mag")
("M-TG",   "Rossi",     "2mag")
("M-SRW",   "Bononi",     "2mag")
("M-SD",   "Amoroso",     "2mag")

;

param ns : 
        1 2 3 4 5:=
## INFORMATICA
"Lunch1" 1 1 1 1 1
"Lunch2" 1 1 1 1 1
"Lunch3" 1 1 1 1 1
"Lunch4" 1 1 1 1 1
"Lunch5" 1 1 1 1 1
"Lunch6" 1 1 1 1 1
"Lunch7" 1 1 1 1 1
"Lunch8" 1 1 1 1 1
## primo anno
"I-AM"  3 3 . . .
"I-P"   3 3 3 . .
"I-AE"  2 2 . . .
"I-LI"  2 2 4 . .

## secondo anno
"I-SO"  3 3 . . .
"I-RC"  2 2 2 2 .
"I-CN"  3 3 . . .
"I-O"   2 2 . . .
"I-LP"  2 3 . . .


## terzo anno
