data;

param maxb := 4;

param max_slots_per_day := 5;

param slots_per_day := 10;

set Rooms := "E1","E2","E3","LABE","M1";

set Data := 

("I-AG", "Morigi", "1info")
("I-ASD", "Bertossi", "1info")
("I-CPS", "Campanino", "2info")
("I-F", "Rambaldi", "1info")
("I-IT", "Asperti", "3info")
("I-LAM", "Bononi", "3info")
("I-LP", "Martini", "2info")
("I-PSV", "Davoli", "3info")
("I-SC", "babaoglu", "1mag")
("I-SC2", "ferretti", "1mag")
("I-SI", "Casadei", "3info")
("I-SO", "Davoli", "1info")
("I-TW", "Vitali", "2info")
("M-ASP", "laneve", "2mag")
("M-ASS", "mollona", "2mag")
("M-C", "dallago", "2mag")
("M-IA", "gaspari", "1mag")
("M-IAR", "gaspari", "2mag")
("M-IPC", "Vitali", "1mag")
("M-MC", "Spaletta", "1mag")
("M-MSC", "gorrieri", "2mag")
("M-MTI", "roccetti", "2mag")
("M-SM", "panzieri", "1mag")
("S-AG", "cagliari", "1ipm")
("S-AI", "roccetti", "1ipm")
("S-ASD", "Marzolla", "2ipm")
("S-EA", "Aprile", "1ipm")
("S-M", "fumagalli", "2ipm")
("S-PI", "messina", "1ipm")
("S-SM", "ghini", "2mag")
("S-SN", "loli", "2ipm")
("S-SO", "sangiorgi", "2ipm")
("S-TI", "fumagalli", "3ipm")

;
param ns :
		1 2 3 4  :=
"I-AG" 3 2 . . 
"I-ASD" 3 3 2 1 
"I-CPS" 3 2 . . 
"I-F" 2 2 2 . 
"I-IT" 3 2 . . 
"I-LAM" 3 2 . . 
"I-LP" 2 2 2 . 
"I-PSV" 2 2 2 . 
"I-SC" 3 3 . . 
"I-SC2" 2 2 . . 
"I-SI" 2 2 2 . 
"I-SO" 2 2 . . 
"I-TW" 3 3 . . 
"M-ASP" 2 2 . . 
"M-ASS" 3 2 . . 
"M-C" 2 2 . . 
"M-IA" 3 2 . . 
"M-IAR" 3 3 . . 
"M-IPC" 2 3 3 . 
"M-MC" 3 3 . . 
"M-MSC" 3 3 . . 
"M-MTI" 3 2 . . 
"M-SM" 3 3 . . 
"S-AG" 2 3 . . 
"S-AI" 3 3 . . 
"S-ASD" 3 2 . . 
"S-EA" 3 3 . . 
"S-M" 3 2 . . 
"S-PI" 2 2 . . 
"S-SM" 2 3 . . 
"S-SN" 3 3 . . 
"S-SO" 5 3 1 . 
"S-TI" 3 2 . . 

;
param weights :=


["Morigi",*,*] (tr) :
		1		2		3		4		5 :=
1		1		0		1		1		1
2		1		0		1		1		1
3		1		0		1		1		1
4		1		1		1		1		1
5		1		1		1		1		1
6		1		1		1		1		1
7		1		1		1		1		1
8		1		1		1		1		1
9		1		1		1		1		1
10		1		1		1		1		1

["Bertossi",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		0		1		1
2		1		1		0		1		1
3		1		1		1		1		1
4		1		1		1		1		1
5		1		1		1		1		1
6		1		1		1		1		1
7		1		1		1		1		1
8		1		1		1		0		0
9		1		1		1		0		0
10		1		1		1		0		0

["Campanino",*,*] (tr) :
		1		2		3		4		5 :=
1		0		1		0		1		1
2		0		1		0		1		1
3		0		1		0		1		1
4		0		1		0		1		1
5		0		1		0		1		1
6		0		1		0		1		1
7		1		1		1		1		1
8		1		1		1		1		1
9		1		1		1		1		1
10		1		1		1		1		1

["Rambaldi",*,*] (tr) :
		1		2		3		4		5 :=
1		1		0		1		0		1
2		1		0		1		0		1
3		1		0		1		0		1
4		1		0		1		0		1
5		1		0		1		0		1
6		1		0		1		0		1
7		1		0		1		0		1
8		1		0		1		0		1
9		1		0		1		0		1
10		1		0		1		0		1

["Asperti",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		1		0		0
2		1		1		1		0		0
3		1		1		1		0		0
4		1		1		1		0		0
5		1		1		1		0		0
6		1		1		1		0		0
7		1		1		1		0		0
8		1		1		1		0		0
9		1		1		1		0		0
10		1		1		1		0		0

["Bononi",*,*] (tr) :
		1		2		3		4		5 :=
1		0		1		1		1		1
2		0		1		1		1		1
3		0		1		1		1		1
4		0		1		1		1		1
5		0		1		1		1		1
6		0		1		1		1		1
7		0		1		1		1		1
8		0		1		1		1		1
9		0		1		1		1		1
10		0		1		1		1		1

["Martini",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		0		1		1
2		1		1		0		1		1
3		1		1		0		1		1
4		1		1		0		1		1
5		1		1		0		1		1
6		1		1		0		1		1
7		1		1		0		1		1
8		1		1		0		1		1
9		1		1		0		1		1
10		1		1		0		1		1

["Davoli",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		1		1		0
2		1		1		1		1		0
3		1		1		1		1		0
4		1		1		1		1		0
5		1		1		1		1		0
6		1		1		1		1		0
7		1		1		1		1		0
8		1		1		1		1		0
9		1		1		1		1		0
10		1		1		1		1		0

["babaoglu",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		1		1		0
2		1		1		1		1		0
3		1		1		1		1		0
4		1		1		1		1		0
5		1		1		1		1		0
6		1		1		1		1		0
7		1		1		1		1		0
8		1		1		1		1		0
9		1		1		1		1		0
10		1		1		1		1		0

["ferretti",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		1		0		0
2		1		1		1		0		0
3		1		1		1		0		0
4		1		1		1		0		0
5		1		1		1		0		0
6		1		1		1		0		0
7		1		1		1		0		0
8		1		1		1		0		0
9		1		1		1		0		0
10		1		1		1		0		0

["Casadei",*,*] (tr) :
		1		2		3		4		5 :=
1		1		0		1		0		1
2		1		0		1		0		1
3		1		0		1		0		1
4		1		0		1		0		1
5		1		0		1		0		1
6		1		0		1		0		1
7		1		0		1		0		1
8		1		0		1		0		1
9		1		0		1		0		1
10		1		0		1		0		1

["Vitali",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		1		1		1
2		1		1		1		1		1
3		1		1		1		1		1
4		1		1		1		1		1
5		1		1		1		1		1
6		1		1		1		1		1
7		1		1		1		1		1
8		1		1		1		1		1
9		1		1		1		1		1
10		1		1		1		1		1

["laneve",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		1		0		0
2		1		1		1		0		0
3		1		1		1		0		0
4		0		0		0		0		0
5		0		0		0		0		0
6		0		0		0		0		0
7		1		1		1		0		0
8		1		1		1		0		0
9		1		1		1		0		0
10		1		1		1		0		0

["mollona",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		1		0		0
2		1		1		1		0		0
3		1		1		1		0		0
4		1		1		1		0		0
5		1		1		1		0		0
6		1		1		1		0		0
7		1		1		1		0		0
8		1		1		1		0		0
9		1		1		1		0		0
10		1		1		1		0		0

["dallago",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		1		1		0
2		1		1		1		1		0
3		1		1		1		1		0
4		1		1		1		1		0
5		1		1		1		1		0
6		1		1		1		1		0
7		1		1		1		1		0
8		1		1		1		1		0
9		1		1		1		1		0
10		1		1		1		1		0

["gaspari",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		1		1		1
2		1		1		1		1		1
3		1		1		1		1		1
4		1		1		1		1		1
5		1		1		1		1		1
6		1		1		1		1		1
7		1		1		1		1		1
8		0		0		0		0		0
9		0		0		0		0		0
10		0		0		0		0		0

["Spaletta",*,*] (tr) :
		1		2		3		4		5 :=
1		0		0		1		1		1
2		0		0		1		1		1
3		0		0		1		1		1
4		0		0		1		1		1
5		0		0		1		1		1
6		0		0		1		1		1
7		0		0		1		1		1
8		0		0		1		1		1
9		0		0		1		1		1
10		0		0		1		1		1

["gorrieri",*,*] (tr) :
		1		2		3		4		5 :=
1		0		1		1		1		0
2		0		1		1		1		0
3		0		1		1		1		0
4		0		1		1		1		0
5		0		1		1		1		0
6		0		1		1		1		0
7		0		1		1		1		0
8		0		1		1		1		0
9		0		1		1		1		0
10		0		1		1		1		0

["panzieri",*,*] (tr) :
		1		2		3		4		5 :=
1		1		1		1		1		1
2		1		1		1		1		1
3		1		1		1		1		1
4		1		1		1		1		1
5		1		1		1		1		1
6		1		1		1		1		1
7		1		1		1		1		1
